pregunta,respuesta
¿Puedo presentar una póliza de bonos en formato electrónico?,"Este tipo de garantía es válida, ¿no?"
¿Qué pasa si no localizo la firma que emitió mi póliza de fianza?,"En caso de que el garante que emitió su fianza no aparezca, puede no estar autorizado para esos fines, por lo que es probable que su garantía no sea aceptada."
¿Qué sucede si el texto contenido en mi política de bonos no coincide con el texto indicado?,Se le pedirá que cambie esta situación y presente su garantía con los textos correctos.
¿Puede algún banco emitirme una carta de crédito?,Sólo aquellos que tienen la correspondiente autorización del SAT.
¿Qué sucede si la carta de crédito emitida por un banco no cumple con los textos que debe contener?,"Al no cumplir con los requisitos de procedencia, la autoridad le pedirá que modifique su carta de crédito, de acuerdo con los formatos autorizados para este fin. Si usted no cumple con esto, su procedimiento no puede ser aceptado."
"En caso de que mi procedimiento no haya sido apropiado, ¿puedo volver a presentarlo?","Puede enviarlo de nuevo, acompañando su solicitud con todos los requisitos necesarios."
¿Puedo emitir cartas de crédito para garantizar deudas fiscales sin la autorización del SAT?,"No, es esencial que el SAT le conceda tal autorización, de lo que se dice que las cartas de crédito que usted emite no pueden ser aceptadas como una garantía de los intereses fiscales."
¿Cómo validar una carta que no tiene número de invitación?,Todas las cartas emitidas por Persuasive Recovery tienen un número de invitación.
¿Cómo consiguió el SAT los datos para contactarme?,Utilizamos la información que SAT tiene en sus sistemas institucionales.
¿Cómo valido el nombre de la persona que me contactó?,"Llame a MarcaSAT 627 22 728 desde la Ciudad de México o 01(55) 62722 728 para el resto del país, opción 9, seguida de la opción 1."
Recibí una carta de invitación o una llamada. ¿Dónde solicito más información sobre mi situación?,"En MarcaSAT 627 22 728 desde la Ciudad de México o 01 (55) 62722 728 del resto del país, opción 9 seguida de la opción 1."
¿Qué debo hacer si no reconozco algunos de los retenedores que me están precargando?,"Si no reconoces ninguno de los retenedores que fueron precargados, puedes borrar el registro."
"El resultado de mi declaración fue un impuesto a pagar, ¿puedo solicitar que se pague en parcialidades?","Al enviar su declaración durante el mes de abril, usted tiene la facilidad de elegir hasta 6 parcialidades."
¿En qué exploradores puedo presentar mi declaración?,"Edge, Firefox, Google o Safari. Para obtener más información, consulte el documento Características técnicas en la sección “Contenidos relacionados”."
¿Cómo puedo hacer el pago de la declaración?,"Si usted decide cubrir la cantidad cargada en parcialidades, el SAT emitirá las líneas de captura y las cantidades de cada parcialidad a su sesión, evitando su captura. Pago directo desde el portal del SAT."
¿Qué necesito para presentar una declaración?,"Para introducir la declaración, debe tener su RFC y contraseña o e.sign."
¿Cuál es el mejor navegador para presentar una declaración?,"Chrome, Firefox, Safari y Edge."
¿Quién debe presentar estas declaraciones?,Las personas físicas están obligadas a retener el impuesto sobre el valor añadido.
¿Qué obligaciones debo presentar a través de esta declaración?,"Por medio de esta declaración, debe conocer las deducciones de IVA que realiza en el ejercicio 2024."
¿Cómo serán las retenciones de ISR causadas por el ajuste anual de salarios y salarios que el empleador hizo a sus trabajadores para el ejercicio 2023?,"La diferencia que resulta de los trabajadores como resultado del cálculo anual realizado por el empleador, debe declararlo y averiguarlo a más tardar el 28 de febrero del siguiente año natural en la forma “Retenciones ISR por salarios” de acuerdo con el formulario antes mencionado :"
¿Quién debe presentar estas declaraciones?,Personas físicas que pagan a sus trabajadores.
¿A partir de qué período debo presentar estas declaraciones?,"A partir de enero de 2024, que se presenta el 17 de febrero del mismo año."
¿Qué es el Servicio de Declaraciones y Pagos?,"Es una aplicación electrónica para que usted presente sus pagos provisionales o finales del ISR, IVA o IEPS, incluyendo retenciones, a través de medios electrónicos y formatos, así como corrección complementaria, extemporánea y fiscal a través del portal SAT."
¿La aplicación realiza el cálculo automático de impuestos?,Cuando tú elijas.
¿Están obligadas todas las personas físicas contribuyentes a utilizar el servicio de declaraciones y pagos?,Incluso los sujetos al Régimen de Incorporación Tributaria que habrían sido gravados en 2013 en el Régimen de Intermedios o en el Régimen de Negocios y Actividades Profesionales.
¿Qué necesito entrar para consultar al espectador?,"Para entrar en el visor, debe tener su RFC y contraseña o e.signa."
¿Qué navegador se recomienda utilizar para ver el visor?,"Chrome, Firefox, Safari y Edge."
¿Quién puede consultar al espectador?,Las personas físicas y morales que gravan bajo el régimen simplificado de confianza.
¿Puedo ver los detalles de las facturas en el visor de facturas?,"No, tendrá que introducir la consulta de factura, disponible en la sección “Electronic Bill” de la página de inicio del SAT."
¿Cómo presentar mi declaración bimensual?,A través de la aplicación Mi Cuenta
"Soy un comerciante, ¿qué necesito para presentar mis declaraciones bimensuales en Mis cuentas?","Su RFC, contraseña o firma e. y el total de sus operaciones de bimestre que va a declarar."
¿Cuáles son los requisitos para mis gastos a considerar al presentar mi declaración bimensual?,Que usted tiene la factura electrónica correspondiente y son estrictamente indispensables para llevar a cabo su actividad.
"Perdí el acuse de recibo de mi declaración y el formato de pago, ¿cómo puedo recuperarlos?","Ingrese Mis Cuentas en la sección Mis Declaraciones, Incorporación Fiscal, Consulta."
"He presentado mi declaración bimensual en Mis cuentas y tengo una cantidad que pagar, ¿qué necesito para hacer el pago?",Usted necesita el Formulario de Pago de Contribución Federal que contiene la línea de llegada y realizar el pago.
"He presentado mi declaración bimensual en Mis cuentas y tengo una cantidad que pagar, ¿dónde hago el pago?",Puede hacerlo en:Ventana de bancos autorizados. En el portal de Internet del banco autorizado.
